spectrum_index,spectrum_description,noise_level,bias,rms_diff,rel_bias,snr,noise_std,correlation_with_neg_noise,bias_ratio,variability_ratio,success,elapsed_time_s
0,Standard spectrum,0.005,0.007030915458114184,0.009437235766021264,0.0070577372057727674,199.00686092596408,0.0050175790332495146,0.8243804477495916,1.4012565445453045,1.88083450275211,True,0.43392133712768555
0,Standard spectrum,0.01,0.007215074648098563,0.012836995236460398,0.007260463614466249,99.50343046298204,0.010035158066499029,0.9459594201715591,0.7189796713003535,1.2792020964089157,True,0.43700337409973145
0,Standard spectrum,0.02,0.007336351849934197,0.021617180781611133,0.0074106731139359115,49.75171523149102,0.020070316132998058,0.9856464997002848,0.36553245107446697,1.0770722612619859,True,0.43275976181030273
0,Standard spectrum,0.05,0.007648839248655337,0.050826417352291764,0.007789723640738838,19.900686092596413,0.050175790332495133,0.9976632919360207,0.1524408324805549,1.0129669511030157,True,0.43322038650512695
0,Standard spectrum,0.1,0.008097539670562481,0.10068910118802471,0.00832287319075396,9.950343046298206,0.10035158066499027,0.9994144539887785,0.08069170028915625,1.0033633802357453,True,0.43600940704345703
0,Standard spectrum,0.15,0.008692160749100175,0.15076007069801736,0.008993117237993268,6.63356203086547,0.15052737099748542,0.9997396554974429,0.05774471906006635,1.0015458962645127,True,0.43398165702819824
0,Standard spectrum,0.2,0.009140253630622652,0.20088363835147474,0.009506403058182043,4.975171523149103,0.20070316132998053,0.9998535382837734,0.045541154260121286,1.0008992236111194,True,0.43218064308166504
19392,High metallicity spectrum,0.005,-7.020551549663523e-06,0.0050176917155740535,-7.022681752733253e-06,199.30726122800056,0.0050175790332495146,0.9999999341379232,0.001399191024823147,1.0000224575086496,True,0.16740798950195312
19392,High metallicity spectrum,0.01,4.21987985544936e-05,0.010035169560312418,4.222196524557703e-05,99.65363061400028,0.010035158066499029,0.9999999835344546,0.004205095552542255,1.000001145354494,True,0.16922664642333984
19392,High metallicity spectrum,0.02,0.00013922564783663827,0.020070361896504504,0.00013935114904203608,49.82681530700014,0.020070316132998058,0.9999999958836113,0.006936893615130169,1.0000022801587252,True,0.16957879066467285
19392,High metallicity spectrum,0.05,0.0004325899703804259,0.050176128223554724,0.0004332959571451427,19.93072612280006,0.050175790332495133,0.9999999993413772,0.00862148792303665,1.0000067341452392,True,0.16886329650878906
19392,High metallicity spectrum,0.1,0.0009209872951307929,0.10035246854079842,0.0009233304506464483,9.96536306140003,0.10035158066499027,0.9999999998353442,0.009177606262181164,1.0000088476514497,True,0.16833901405334473
19392,High metallicity spectrum,0.15,0.00140938461988116,0.15052881937553755,0.0014139385852524988,6.643575374266686,0.15052737099748542,0.9999999999268184,0.009362979041896001,1.0000096220245032,True,0.1687462329864502
19392,High metallicity spectrum,0.2,0.001897781944631527,0.20070517283964168,0.0019052318509772837,4.982681530700015,0.20070316132998053,0.9999999999588361,0.009455665431753421,1.0000100223117954,True,0.1691892147064209
9696,Mid-range spectrum,0.005,0.0030420525943211096,0.008927494140458377,0.003048856689848676,199.2651377120633,0.0050175790332495146,0.6248531753451098,0.606278959267533,1.7792433524812263,True,0.15880465507507324
9696,Mid-range spectrum,0.01,0.0037010976847726695,0.012453215732539744,0.0037138688474913717,99.63256885603165,0.010035158066499029,0.8488976463434462,0.3688130929524933,1.2409586027461852,True,0.15722966194152832
9696,Mid-range spectrum,0.02,0.004043263288333487,0.021375393461566243,0.00406449784737005,49.81628442801583,0.020070316132998058,0.9549417737773394,0.20145488798185232,1.0650252502212696,True,0.1569828987121582
9696,Mid-range spectrum,0.05,0.004369968545038794,0.05070366907331445,0.004409193286429644,19.926513771206334,0.050175790332495133,0.9923760343699394,0.08709316816099436,1.0105205864685194,True,0.15684103965759277
9696,Mid-range spectrum,0.1,0.0048402702190164515,0.10061007147019296,0.004904166514066528,9.963256885603167,0.10035158066499027,0.998078831279239,0.04823312385257804,1.0025758518549461,True,0.16118907928466797
9696,Mid-range spectrum,0.15,0.005450556807797602,0.15069586698584161,0.005539419588544373,6.642171257068777,0.15052737099748542,0.9991449695679205,0.03620973894434557,1.001119371096696,True,0.15726351737976074
9696,Mid-range spectrum,0.2,0.0060123593271979026,0.20082687965914228,0.006123847160306198,4.981628442801584,0.20070316132998053,0.9995188291538686,0.029956475460358338,1.0006164244167453,True,0.15671086311340332
