element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""4850.211""","=""0.004""","=""4850.2147""","=""0.0007""","=""8""","=""""",,"=""27176.1072""","=""47787.993""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d5.(4P).4p""","=""v 5D*""","=""0""",,"=""""","=""L9190""",
Cr,1,"=""4850.96""","=""0.06""","=""4850.937""","=""0.024""","=""7w""","=""""",,"=""36577.6545""","=""57186.47""","=""3d5.(2F2).4s""","=""d 3F""","=""4""","=""""","=""p 5F*""","=""3""",,"=""""","=""L808""",
Cr,1,"=""4851.464""","=""0.008""","=""4851.4645""","=""0.0003""","=""1""","=""""",,"=""27703.7743""","=""48310.3500""","=""3d4.4s2""","=""b 3G""","=""4""","=""3d4.(3H).4s.4p.(3P*)""","=""y 3H*""","=""5""",,"=""""","=""L14866""",
Fe,2,"=""""","=""""","=""4852.7432""","=""0.0003""","=""""","=""2.49e-02""",C+,"=""2430.1369""","=""23031.2829""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""",E2,"=""T9588c100""","=""""",
Cr,1,"=""4855.152""","=""0.002""","=""4855.1542""","=""0.0009""","=""4""","=""""",,"=""21847.8349""","=""42438.751""","=""3d5.(4P).4s""","=""a 5P""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""4855.6729""","=""0.0007""","=""4855.6728""","=""0.0003""","=""1480""","=""""",,"=""27166.820""","=""47755.537""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""3""",,"=""""","=""L11631""",
Ti,2,"=""4855.9053""","=""0.0014""","=""4855.9041""","=""0.0003""","=""18""","=""2.39e+06""",C+,"=""24961.1910""","=""45548.9273""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d2.(3P).4p""","=""y 2P*""","=""3/2""",,"=""T7385""","=""u37""",
Fe,2,"=""4856.152""","=""0.003""","=""4856.14898""","=""0.00021""","=""50""","=""9.e+05""",D+,"=""83459.721""","=""104046.419""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4857.299""","=""0.002""","=""4857.2994""","=""0.0007""","=""4""","=""""",,"=""21856.9287""","=""42438.751""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""4858.244""","=""0.005""","=""4858.2460""","=""0.0003""","=""79""","=""""",,"=""33801.572""","=""54379.384""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""e 3G""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4858.83""","=""0.03""","=""4858.8419""","=""0.0003""","=""4""","=""""",,"=""24299.8419""","=""44875.1301""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""2""",,"=""""","=""L808""",
Fe,2,"=""4859.0296""","=""0.0009""","=""4859.02832""","=""0.00021""","=""110""","=""1.9e+06""",D+,"=""83308.241""","=""103882.740""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4859.1215""","=""0.0019""","=""4859.1214""","=""0.0003""","=""295""","=""1.1e+06""",E,"=""33801.572""","=""54375.677""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,"=""T2578n""","=""L11631""",
Fe,2,"=""4859.1215""","=""0.0009""","=""4859.1230""","=""0.0007""","=""350bl(Fe I)""","=""""",,"=""73637.285""","=""94211.383""","=""3d5.4s2""","=""4F""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""5/2""",,"=""""","=""L18349c148""",
Fe,1,"=""4859.7411""","=""0.0007""","=""4859.7414""","=""0.0003""","=""24500""","=""1.62e+07""",B+,"=""23192.500""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",,"=""T5720""","=""L11631""",
Cr,1,"=""4859.80""","=""0.03""","=""4859.8011""","=""0.0003""","=""7""","=""""",,"=""24303.9025""","=""44875.1301""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d4.(3P1).4s.4p.(3P*)""","=""v 5P*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""4860.37""","=""0.03""","=""4860.3756""","=""0.0009""","=""7""","=""""",,"=""20517.4222""","=""41086.218""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""3""",,"=""""","=""L808""",
Fe,2,"=""4860.6798""","=""0.0002""","=""4860.67972""","=""0.00019""","=""700""","=""8.5e+06""",C+,"=""82853.704""","=""103421.213""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4860.9781""","=""0.0007""","=""4860.9775""","=""0.0003""","=""457""","=""1.3e+05""",E,"=""27394.691""","=""47960.940""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d7.(4F).5s""","=""e 3F""","=""4""",,"=""T2578n""","=""L11631""",
Cr,1,"=""4861.1966""","=""0.0007""","=""4861.1983""","=""0.0012""","=""28""","=""""",,"=""20520.9029""","=""41086.218""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""3""",,"=""""","=""L14866""",
H,1,"=""""","=""""","=""4861.278624""","=""0.000024""","=""""","=""1.7188e+07""",AAA,"=""82258.9191133""","=""102823.894250""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""4861.283363""","=""0.000024""","=""4861.283363""","=""0.000024""","=""""","=""""",,"=""82258.9543992821""","=""102823.9094871""","=""2s""","=""2S""","=""1/2""","=""4d""","=""2D""","=""5/2""",E2,"=""""","=""L9496""",
H,1,"=""""","=""""","=""4861.2841""","=""0.0014""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c63""",
H,1,"=""4861.286949""","=""0.000024""","=""4861.286949""","=""0.000024""","=""""","=""9.6680e+06""",AAA,"=""82258.9543992821""","=""102823.8943175""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""L9477""",
H,1,"=""""","=""""","=""4861.288370""","=""0.000024""","=""""","=""8.5941e+05""",AAA,"=""82258.9191133""","=""102823.8530211""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
H,1,"=""4861.296711""","=""0.000024""","=""4861.296711""","=""0.000024""","=""""","=""""",,"=""82258.9543992821""","=""102823.8530211""","=""2s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",M1,"=""""","=""L9496""",
H,1,"=""4861.297761""","=""0.000024""","=""4861.297761""","=""0.000024""","=""""","=""9.6682e+06""",AAA,"=""82258.9543992821""","=""102823.8485825""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""L9477""",
H,1,"=""""","=""""","=""4861.3250""","=""0.0014""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c64""",
H,1,"=""4861.35""","=""0.05""","=""4861.333""","=""0.003""","=""180000""","=""8.4193e+06""",AAA,"=""82259.158""","=""102823.904""","=""2""","=""""","=""""","=""4""","=""""","=""""",,"=""T8637""","=""L7439c30""",
H,1,"=""""","=""""","=""4861.361516""","=""0.000024""","=""""","=""2.0625e+07""",AAA,"=""82259.2850014""","=""102823.9094871""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""4861.3622""","=""0.0005""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c65""",
H,1,"=""""","=""""","=""4861.365118""","=""0.000024""","=""""","=""3.4375e+06""",AAA,"=""82259.2850014""","=""102823.894250""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""4861.374864""","=""0.000024""","=""""","=""1.7190e+06""",AAA,"=""82259.2850014""","=""102823.8530211""","=""2p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Cr,1,"=""4861.8409""","=""0.0018""","=""4861.8427""","=""0.0012""","=""150""","=""""",,"=""20523.6290""","=""41086.218""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""3""",,"=""""","=""L14866""",
Fe,1,"=""4862.5966""","=""0.0019""","=""4862.5981""","=""0.0003""","=""209""","=""""",,"=""33507.123""","=""54066.518""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4863.6434""","=""0.0007""","=""4863.6435""","=""0.0003""","=""1350""","=""""",,"=""27666.348""","=""48221.324""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""","=""3d7.(4F).5s""","=""e 5F""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""4863.779""","=""0.004""","=""4863.7769""","=""0.0003""","=""60""","=""""",,"=""24506.917""","=""45061.329""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4863.84""","=""0.04""","=""4863.8375""","=""0.0007""","=""7*""","=""""",,"=""33762.6622""","=""54316.818""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d5.(2I).4p""","=""z 3K*""","=""6""",,"=""""","=""L808""",
Cr,1,"=""4863.84""","=""0.04""","=""4863.879""","=""0.003""","=""7*""","=""""",,"=""25089.2497""","=""45643.231""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d5.(6S).6s""","=""f 7S""","=""3""",,"=""""","=""L808""",
Cr,1,"=""4865.18""","=""0.06""","=""4865.154""","=""0.017""","=""3w""","=""""",,"=""36552.1351""","=""57100.73""","=""3d5.(2F2).4s""","=""d 3F""","=""3""","=""""","=""p 5F*""","=""2""",,"=""""","=""L808""",
Ti,2,"=""4865.6115""","=""0.0019""","=""4865.6104""","=""0.0003""","=""13""","=""7.65e+04""",C+',"=""8997.7874""","=""29544.4540""","=""3d3""","=""a 2G""","=""7/2""","=""3d2.(3F).4p""","=""z 4G*""","=""5/2""",,"=""T7385""","=""u37""",
Cr,1,"=""4865.71""","=""0.06""","=""4865.7538""","=""0.0007""","=""4w""","=""""",,"=""24200.1980""","=""44746.259""","=""3d4.4s2""","=""a 3H""","=""6""","=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""6""",,"=""""","=""L808""",
Fe,2,"=""4866.1989""","=""0.0005""","=""4866.19912""","=""0.00021""","=""270""","=""6.0e+06""",C+,"=""83136.508""","=""103680.689""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""4866.60""","=""0.03""","=""4866.648""","=""0.017""","=""10""","=""""",,"=""36558.446""","=""57100.73""","=""3d5.(2F2).4s""","=""d 3F""","=""2""","=""""","=""p 5F*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""4868.29""","=""0.03""","=""4868.2950""","=""0.0004""","=""8""","=""""",,"=""24056.0404""","=""44591.3768""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""5""",,"=""""","=""L808""",
Fe,1,"=""4868.373""","=""0.004""","=""4868.3731""","=""0.0003""","=""71""","=""""",,"=""12560.934""","=""33095.941""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d7.(4F).4p""","=""y 5D*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4868.430""","=""0.004""","=""4868.4348""","=""0.0005""","=""71""","=""""",,"=""37162.746""","=""57697.493""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d6.(5D).4s (4D).4d""","=""i 5D""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4869.4636""","=""0.0019""","=""4869.4632""","=""0.0003""","=""245""","=""1.3e+05""",E,"=""28604.613""","=""49135.023""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""3""",,"=""T2578n""","=""L11631""",
Fe,2,"=""4869.9690""","=""0.0016""","=""4869.9685""","=""0.0004""","=""60""","=""1.4e+06""",D+,"=""83459.721""","=""103988.001""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4870.036""","=""0.004""","=""4870.0363""","=""0.0003""","=""98""","=""3.88e+05""",C+,"=""31686.351""","=""52214.345""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,"=""T6110""","=""L11631""",
Cr,1,"=""4870.7975""","=""0.0007""","=""4870.7970""","=""0.0003""","=""47""","=""3.5e+07""",D,"=""24833.7957""","=""45358.5837""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d5.(4G).4p""","=""z 3H*""","=""4""",,"=""T1426n""","=""L14866""",
Fe,1,"=""4871.3179""","=""0.0007""","=""4871.3178""","=""0.0003""","=""63000""","=""2.44e+07""",B+,"=""23110.939""","=""43633.533""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""2""",,"=""T5720""","=""L11631""",
Fe,1,"=""4871.9278""","=""0.0007""","=""4871.9279""","=""0.0003""","=""540""","=""2.84e+05""",C+,"=""26224.969""","=""46744.993""","=""3d7.(2D2).4s""","=""a 3D""","=""3""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",,"=""T5720""","=""L11631""",
Cr,1,"=""4872.000""","=""0.003""","=""4872.00068""","=""0.00017""","=""3""","=""""",,"=""20523.6290""","=""41043.3464""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""3""",,"=""""","=""L14866""",
Fe,1,"=""4872.1375""","=""0.0007""","=""4872.1373""","=""0.0003""","=""38000""","=""2.54e+07""",B+,"=""23244.838""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",,"=""T5720""","=""L11631""",
Fe,1,"=""4872.907""","=""0.004""","=""4872.9068""","=""0.0003""","=""89""","=""""",,"=""34039.516""","=""54555.418""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""e 3H""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4873.210""","=""0.005""","=""4873.2101""","=""0.0003""","=""120""","=""""",,"=""31322.613""","=""51837.238""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4873.7510""","=""0.0019""","=""4873.7508""","=""0.0003""","=""112""","=""5.5e+04""",E,"=""26623.735""","=""47136.084""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",,"=""T2578n""","=""L11631""",
Ti,2,"=""4874.0096""","=""0.0005""","=""4874.0094""","=""0.0003""","=""62""","=""2.20e+07""",B,"=""24961.1910""","=""45472.4518""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d2.(3P).4p""","=""y 2P*""","=""1/2""",,"=""T7385""","=""u37""",
Fe,1,"=""4874.3534""","=""0.0019""","=""4874.3530""","=""0.0003""","=""195""","=""""",,"=""24772.018""","=""45281.833""","=""3d7.(2P).4s""","=""c 3P""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 3D*""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""4874.496""","=""""","=""4874.4957""","=""0.0003""","="":""","=""1.99e-01""",C+,"=""2430.1369""","=""22939.3512""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""",E2,"=""T9588,T10588c104""","=""L22747""",
Ti,2,"=""4874.598""","=""0.002""","=""4874.5974""","=""0.0005""","=""11bl""","=""""",,"=""53554.9903""","=""74063.7771""","=""3d.(2D).4s.4p.(3P*)""","=""w 2D*""","=""5/2""","=""3d2.(1D).4d""","=""2F""","=""7/2""",,"=""""","=""u37""",
Cr,1,"=""4874.6522""","=""0.0017""","=""4874.6539""","=""0.0004""","=""6""","=""6.9e+05""",D,"=""25106.2953""","=""45614.8444""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d5.(4G).4p""","=""y 5H*""","=""4""",,"=""T2268""","=""L14866""",
Fe,1,"=""4875.0298""","=""0.0019""","=""4875.0299""","=""0.0008""","=""151""","=""""",,"=""38175.355""","=""58682.322""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d6.4s.(4D).4d""","=""3D""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4875.57""","=""0.03""","=""4875.552""","=""0.010""","=""20""","=""""",,"=""44246.557""","=""64751.33""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""4""","=""3d4.4s.5s""","=""e 5H""","=""4""",,"=""""","=""L808""",
Fe,1,"=""4875.8773""","=""0.0007""","=""4875.8769""","=""0.0003""","=""1120""","=""3.4e+05""",E,"=""26874.550""","=""47377.955""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4876.188""","=""0.004""","=""4876.1860""","=""0.0003""","=""71""","=""2.7e+04""",E,"=""26224.969""","=""46727.074""","=""3d7.(2D2).4s""","=""a 3D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""2""",,"=""T2578n""","=""L11631""",
Fe,1,"=""4877.6060""","=""0.0019""","=""4877.6042""","=""0.0003""","=""151""","=""2.6e+04""",E,"=""24180.862""","=""44677.006""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,"=""T2578n""","=""L11631""",
Cr,1,"=""4878.05""","=""0.03""","=""4878.0165""","=""0.0007""","=""2""","=""""",,"=""32097.2978""","=""52591.7094""","=""3d4.4s2""","=""a 1I""","=""6""","=""3d4.(1I).4s.4p.(3P*)""","=""y 3I*""","=""5""",,"=""""","=""L808""",
Fe,1,"=""4878.2108""","=""0.0007""","=""4878.2107""","=""0.0005""","=""18200""","=""1.21e+07""",B+,"=""23270.384""","=""43763.980""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""0""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""1""",,"=""T5720""","=""L11631""",
Cr,1,"=""4880.04""","=""0.03""","=""4880.0424""","=""0.0004""","=""22""","=""8.1e+05""",D,"=""25177.3539""","=""45663.2579""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4G).4p""","=""y 5H*""","=""5""",,"=""T4288""","=""L808""",
Fe,1,"=""4880.527""","=""0.004""","=""4880.5239""","=""0.0003""","=""89""","=""""",,"=""32873.632""","=""53357.515""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""3F*""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""4880.8709""","=""0.0008""","=""4880.8710""","=""0.0003""","=""400""","=""""",,"=""61156.827""","=""81639.253""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""4881.7175""","=""0.0007""","=""4881.7174""","=""0.0003""","=""2820""","=""5.15e+05""",C+,"=""26627.609""","=""47106.484""","=""3d7.(2H).4s""","=""b 3H""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3H*""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""4882.1431""","=""0.0007""","=""4882.1429""","=""0.0003""","=""1700""","=""""",,"=""27559.583""","=""48036.673""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d7.(4F).5s""","=""e 5F""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""4883.1840""","=""0.0016""","=""4883.18004""","=""0.00024""","=""70""","=""1.7e+06""",D+,"=""82853.704""","=""103326.445""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""4883.2923""","=""0.0004""","=""4883.2924""","=""0.0003""","=""310""","=""5.8e+06""",C+,"=""82853.704""","=""103325.974""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""4883.926""","=""0.012""","=""4883.920""","=""0.010""","=""11""","=""""",,"=""87636.30""","=""108105.938""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""1/2""","=""3d6.(3F2).4d""","=""2P""","=""3/2""",,"=""""","=""L18349c139""",
Cr,1,"=""4884.11""","=""0.03""","=""4884.1121""","=""0.0017""","=""4""","=""""",,"=""37233.423""","=""57702.257""","=""3d5.(2G2).4s""","=""c 3G""","=""5""","=""3d5.(2F1).4p""","=""t 3G*""","=""5""",,"=""""","=""L808""",
Cr,1,"=""4884.9384""","=""0.0013""","=""4884.93941""","=""0.00022""","=""12""","=""""",,"=""20517.4222""","=""40982.7898""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""4885.4303""","=""0.0007""","=""4885.4301""","=""0.0003""","=""2000""","=""""",,"=""31307.245""","=""51770.557""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4885.7694""","=""0.0007""","=""4885.77038""","=""0.00019""","=""64""","=""4.92e+06""",B,"=""20520.9029""","=""40982.7898""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""2""",,"=""u10""","=""L14866""",
Cr,1,"=""4885.952""","=""0.002""","=""4885.9535""","=""0.0003""","=""5""","=""2.44e+06""",B,"=""24897.4635""","=""45358.5837""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(4G).4p""","=""z 3H*""","=""4""",,"=""u10""","=""L14866""",
Fe,1,"=""4886.3315""","=""0.0007""","=""4886.3311""","=""0.0003""","=""2000""","=""""",,"=""33507.123""","=""53966.662""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""h 5D""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""""","=""""","=""4886.5675""","=""0.0003""","=""""","=""2.3e-01""",E,"=""415.933""","=""20874.482""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.4s2""","=""b 3F2""","=""3""",M1,"=""T6409""","=""""",
Cr,1,"=""4887.0123""","=""0.0007""","=""4887.0124""","=""0.0003""","=""75""","=""3.2e+07""",D,"=""24897.4635""","=""45354.1500""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(4G).4p""","=""z 3H*""","=""5""",,"=""T1426n""","=""L14866""",
Fe,1,"=""4887.1936""","=""0.0007""","=""4887.1932""","=""0.0003""","=""1000""","=""""",,"=""33801.572""","=""54257.502""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4887.365""","=""0.004""","=""4887.3669""","=""0.0003""","=""89""","=""""",,"=""32873.632""","=""53328.835""","=""3d8""","=""c 3F""","=""4""","=""3d7.(4F).5p""","=""3F*""","=""4""",,"=""""","=""L11631""",
Cr,1,"=""4887.6916""","=""0.0017""","=""4887.6931""","=""0.0003""","=""7""","=""""",,"=""20517.4222""","=""40971.2599""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""4888.262""","=""0.005""","=""4888.2559""","=""0.0003""","=""870bl""","=""""",,"=""34039.516""","=""54490.999""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""e 5H""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4888.5224""","=""0.0017""","=""4888.52502""","=""0.00019""","=""6""","=""""",,"=""20520.9029""","=""40971.2599""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""4888.6366""","=""0.0007""","=""4888.6362""","=""0.0003""","=""1780""","=""""",,"=""33095.941""","=""53545.833""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""4889.0012""","=""0.0007""","=""4889.0008""","=""0.0003""","=""1170""","=""1.13e+05""",C+,"=""17726.988""","=""38175.355""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""3""",,"=""T5720""","=""L11631""",
Fe,1,"=""4889.1018""","=""0.0007""","=""4889.1019""","=""0.0003""","=""1170""","=""""",,"=""31322.613""","=""51770.557""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""4889.623""","=""""","=""4889.62268""","=""0.00019""","="":""","=""4.17e-01""",C+,"=""384.7872""","=""20830.5534""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""",M1,"=""T9588,T10588c104""","=""L22760""",
Cr,1,"=""4889.71""","=""0.03""","=""4889.6917""","=""0.0005""","=""20""","=""""",,"=""27597.2409""","=""48042.7187""","=""3d4.4s2""","=""b 3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""4890.22""","=""0.04""","=""4890.20""","=""0.03""","=""22*""","=""""",,"=""44307.97""","=""64751.33""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""5""","=""3d4.4s.5s""","=""e 5H""","=""4""",,"=""""","=""L808""",
