element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""5005.08""","=""0.03""","=""5005.0893""","=""0.0013""","=""7""","=""""",,"=""35933.906""","=""55907.998""","=""3d5.(2H).4s""","=""b 3H""","=""6""","=""3d4.(1I).4s.4p.(3P*)""","=""u 3H*""","=""6""",,"=""""","=""L808""",
Ti,2,"=""5005.170""","=""0.002""","=""5005.1672""","=""0.0003""","=""10""","=""1.9e+05""",D,"=""12628.8455""","=""32602.6265""","=""3d3""","=""b 2D2""","=""3/2""","=""3d2.(3F).4p""","=""z 4D*""","=""3/2""",,"=""T4502""","=""L9190""",
Fe,2,"=""""","=""""","=""5005.5220""","=""0.0003""","=""""","=""9.08e-02""",C+,"=""2837.9807""","=""22810.3459""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""",E2,"=""T9588c100""","=""""",
Fe,1,"=""5005.7120""","=""0.0008""","=""5005.7120""","=""0.0004""","=""15800""","=""""",,"=""31322.613""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""5006.1188""","=""0.0008""","=""5006.1184""","=""0.0004""","=""41700""","=""5.87e+06""",B+,"=""22845.869""","=""42815.855""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""5""",,"=""T5720""","=""L11631""",
Fe,2,"=""""","=""""","=""5006.63093""","=""0.00020""","=""""","=""3.3e-02""",D,"=""862.6118""","=""20830.5534""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""",M1,"=""T9588c100""","=""""",
Fe,2,"=""5006.8402""","=""0.0002""","=""5006.84045""","=""0.00020""","=""900""","=""1.15e+07""",C+,"=""83713.583""","=""103680.689""","=""3d6.(5D).4d""","=""6D""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5007.2750""","=""0.0008""","=""5007.2740""","=""0.0004""","=""5400""","=""""",,"=""33095.941""","=""53061.318""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""g 5F""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""5007.4494""","=""0.0003""","=""5007.44937""","=""0.00020""","=""600""","=""7.7e+06""",C+,"=""83726.416""","=""103691.094""","=""3d6.(5D).4d""","=""6D""","=""9/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5007.7338""","=""0.0003""","=""5007.73506""","=""0.00020""","=""900""","=""1.74e+07""",C+,"=""82978.717""","=""102942.256""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5007.811""","=""0.005""","=""5007.8038""","=""0.0003""","=""18""","=""2.5e+05""",D,"=""83713.583""","=""103676.848""","=""3d6.(5D).4d""","=""6D""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5008.639""","=""0.005""","=""5008.6415""","=""0.0004""","=""105""","=""""",,"=""36766.966""","=""56726.892""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.4s.(6D).5d""","=""5F""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""5008.75""","=""0.06""","=""5008.7886""","=""0.0005""","=""5w""","=""""",,"=""24299.8419""","=""44259.182""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(6S).5p""","=""w 5P*""","=""3""",,"=""""","=""L808""",
Fe,2,"=""5008.9839""","=""0.0003""","=""5008.9846""","=""0.0004""","=""500""","=""3.9e+07""",C+,"=""83459.721""","=""103418.280""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[0]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5009.071""","=""0.002""","=""5009.0712""","=""0.0003""","=""60""","=""1.4e+05""",D,"=""83459.721""","=""103417.935""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5009.78""","=""0.06""","=""5009.8078""","=""0.0005""","=""10w""","=""""",,"=""24303.9025""","=""44259.182""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(6S).5p""","=""w 5P*""","=""3""",,"=""""","=""L808""",
Fe,2,"=""5010.0606""","=""0.0004""","=""5010.06050""","=""0.00020""","=""310""","=""5.4e+06""",C+,"=""83726.416""","=""103680.689""","=""3d6.(5D).4d""","=""6D""","=""9/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Ti,2,"=""5010.2106""","=""0.0015""","=""5010.2088""","=""0.0003""","=""17""","=""3.40e+06""",C+,"=""24961.1910""","=""44914.8733""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d2.(3P).4p""","=""x 2D*""","=""3/2""",,"=""T7385""","=""u37""",
Fe,2,"=""5011.0261""","=""0.0013""","=""5011.02508""","=""0.00023""","=""90""","=""2.2e+06""",D+,"=""83726.416""","=""103676.848""","=""3d6.(5D).4d""","=""6D""","=""9/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5011.212""","=""0.005""","=""5011.2120""","=""0.0006""","=""60""","=""""",,"=""24335.766""","=""44285.454""","=""3d7.(2P).4s""","=""c 3P""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""5011.764""","=""0.002""","=""5011.77295""","=""0.00020""","=""40""","=""1.5e+06""",D+,"=""83713.583""","=""103661.038""","=""3d6.(5D).4d""","=""6D""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""5011.984""","=""0.003""","=""5011.9863""","=""0.0003""","=""40""","=""5.8e+06""",D+,"=""83459.721""","=""103406.327""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5012.0681""","=""0.0008""","=""5012.0677""","=""0.0004""","=""65000""","=""5.50e+04""",A,"=""6928.268""","=""26874.550""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""",,"=""T3548""","=""L11631""",
Fe,1,"=""5012.1576""","=""0.0008""","=""5012.1566""","=""0.0004""","=""740""","=""""",,"=""33801.572""","=""53747.500""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""5012.6944""","=""0.0007""","=""5012.6919""","=""0.0004""","=""27bl(Fe I)""","=""""",,"=""103002.660""","=""122946.458""","=""3d6.(3P2).4d""","=""4D""","=""5/2""","=""3d6.(3H<6>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5012.6944""","=""0.0020""","=""5012.6945""","=""0.0004""","=""275""","=""6.5e+05""",E,"=""34547.211""","=""54490.999""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""e 5H""","=""3""",,"=""T2578n""","=""L11631""",
Cr,1,"=""5013.3136""","=""0.0007""","=""5013.3144""","=""0.0003""","=""44""","=""3.5e+06""",D,"=""21840.8096""","=""41782.1313""","=""3d5.(4P).4s""","=""a 5P""","=""3""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""4""",,"=""T1621n""","=""L14866""",
Ti,2,"=""5013.6862""","=""0.0010""","=""5013.68633""","=""0.00023""","=""24""","=""2.89e+05""",C+,"=""12758.2597""","=""32698.1022""","=""3d3""","=""b 2D2""","=""5/2""","=""3d2.(3F).4p""","=""z 4D*""","=""5/2""",,"=""T7385""","=""u37""",
Fe,1,"=""5014.9421""","=""0.0008""","=""5014.9422""","=""0.0004""","=""12900""","=""2.64e+07""",C+,"=""31805.071""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,"=""T5720""","=""L11631""",
Fe,2,"=""5015.7520""","=""0.0003""","=""5015.7519""","=""0.0003""","=""1200""","=""6.2e+07""",B+,"=""83459.721""","=""103391.352""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5016.4787""","=""0.0020""","=""5016.4770""","=""0.0004""","=""79""","=""""",,"=""34328.752""","=""54257.502""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,"=""""","=""L11631""",
Cr,1,"=""5017.33""","=""0.03""","=""5017.3497""","=""0.0006""","=""4""","=""""",,"=""27163.1052""","=""47088.389""","=""3d5.(4P).4s""","=""b 3P""","=""0""","=""3d4.(3P1).4s.4p.(3P*)""","=""z 3S*""","=""1""",,"=""""","=""L808""",
Cr,1,"=""5018.158""","=""0.003""","=""5018.1582""","=""0.0005""","=""3""","=""""",,"=""31028.2590""","=""50950.3326""","=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""3""",,"=""""","=""L14866""",
Fe,2,"=""5018.4354""","=""0.0002""","=""5018.4358""","=""0.0003""","=""8000""","=""2.0e+06""",D+,"=""23317.6351""","=""43238.6066""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4p""","=""z 6P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5019.1762""","=""0.0018""","=""5019.17658""","=""0.00020""","=""6""","=""""",,"=""7810.7795""","=""27728.8110""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""5019.7303""","=""0.0020""","=""5019.7309""","=""0.0004""","=""123""","=""""",,"=""32133.991""","=""52049.823""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""5020.0137""","=""0.0008""","=""5020.01397""","=""0.00020""","=""190""","=""3.1e+06""",D+,"=""82978.717""","=""102893.426""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[6]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5020.244""","=""""","=""5020.2443""","=""0.0003""","="":""","=""2.08e-01""",C+,"=""3117.4877""","=""23031.2829""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""",E2,"=""T9588c100""","=""L22747""",
Cr,1,"=""5020.608""","=""0.02""","=""5020.6259""","=""0.0006""","=""15""","=""""",,"=""27176.1072""","=""47088.389""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""z 3S*""","=""1""",,"=""""","=""L808""",
Fe,1,"=""5020.8166""","=""0.0020""","=""5020.8167""","=""0.0004""","=""135""","=""""",,"=""28604.613""","=""48516.138""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d7.(4P).4p""","=""x 3P*""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""5021.5907""","=""0.0002""","=""5021.5910""","=""0.0004""","=""1100bl(Fe I)""","=""2.13e+07""",B+,"=""82978.717""","=""102887.172""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Fe,1,"=""5021.591""","=""0.005""","=""5021.5895""","=""0.0006""","=""1120bl""","=""6.18e+06""",D+,"=""34328.752""","=""54237.213""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""e 5H""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""5021.6832""","=""0.0020""","=""5021.6813""","=""0.0004""","=""174""","=""""",,"=""34017.103""","=""53925.200""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,"=""""","=""L11631""",
Cr,1,"=""5021.9017""","=""0.0007""","=""5021.9021""","=""0.0003""","=""29""","=""""",,"=""7593.1484""","=""27500.3699""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""",,"=""""","=""L14866""",
Ti,2,"=""5022.06""","=""0.02""","=""5022.0479""","=""0.0004""","=""5""","=""""",,"=""20891.7898""","=""40798.4333""","=""3d3""","=""b 2F""","=""7/2""","=""3d2.(3P).4p""","=""y 4D*""","=""7/2""",,"=""""","=""L5432""",
Fe,1,"=""5022.2352""","=""0.0008""","=""5022.2353""","=""0.0004""","=""7100""","=""2.4e+07""",D+,"=""32133.991""","=""52039.892""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,"=""T2491n""","=""L11631""",
Fe,2,"=""5022.4183""","=""0.0003""","=""5022.41819""","=""0.00023""","=""1100""","=""3.73e+07""",B+,"=""83459.721""","=""103364.897""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5022.7888""","=""0.0003""","=""5022.78888""","=""0.00020""","=""1100bl(Fe I)""","=""2.14e+07""",B+,"=""82978.717""","=""102882.424""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
Fe,1,"=""5022.789""","=""0.005""","=""5022.7891""","=""0.0004""","=""1230bl""","=""1.87e+05""",C,"=""24118.819""","=""44022.525""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""5023.1863""","=""0.0008""","=""5023.1854""","=""0.0004""","=""316""","=""2.3e+06""",E,"=""34547.211""","=""54449.347""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,"=""T2578n""","=""L11631""",
Fe,1,"=""5023.4975""","=""0.0020""","=""5023.4971""","=""0.0004""","=""234""","=""6.0e+05""",E,"=""34782.421""","=""54683.322""","=""3d7.(4F).4p""","=""z 5G*""","=""5""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,"=""T2578n""","=""L11631""",
Cr,1,"=""5023.63""","=""0.06""","=""5023.6689""","=""0.0003""","=""5w""","=""""",,"=""24286.5418""","=""44186.7624""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d5.(6S).5p""","=""w 5P*""","=""2""",,"=""""","=""L808""",
Fe,2,"=""5023.912""","=""0.002""","=""5023.91187""","=""0.00020""","=""60""","=""1.6e+06""",D+,"=""83812.352""","=""103711.610""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5024.7933""","=""0.0020""","=""5024.7919""","=""0.0004""","=""302""","=""""",,"=""33765.306""","=""53661.079""","=""3d8""","=""c 3F""","=""2""","=""3d7.(4F).5p""","=""5F*""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""5025.084""","=""0.004""","=""5025.0808""","=""0.0004""","=""17""","=""""",,"=""34362.873""","=""54257.502""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""5025.3023""","=""0.0020""","=""5025.3029""","=""0.0004""","=""98""","=""""",,"=""34555.597""","=""54449.347""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,"=""""","=""L11631""",
Cr,1,"=""5025.555""","=""0.002""","=""5025.55384""","=""0.00015""","=""5""","=""""",,"=""7927.4410""","=""27820.1975""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""",,"=""""","=""L14866""",
Cr,1,"=""5025.83""","=""0.03""","=""5025.8150""","=""0.0006""","=""4""","=""""",,"=""31355.1192""","=""51246.842""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d5.(4D).4p""","=""w 3P*""","=""1""",,"=""""","=""L808""",
Fe,2,"=""5026.7980""","=""0.0003""","=""5026.79800""","=""0.00023""","=""800""","=""1.58e+07""",C+,"=""83136.508""","=""103024.341""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5026.936""","=""0.003""","=""5026.9305""","=""0.0008""","=""21""","=""""",,"=""86767.614""","=""106654.923""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""","=""3d5.4s.(7S).4d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5027.029""","=""0.003""","=""5027.02866""","=""0.00020""","=""3""","=""""",,"=""24299.8419""","=""44186.7624""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(6S).5p""","=""w 5P*""","=""2""",,"=""""","=""L14866""",
Fe,1,"=""5027.1227""","=""0.0008""","=""5027.1223""","=""0.0004""","=""4470""","=""""",,"=""33507.123""","=""53393.673""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""5027.2250""","=""0.0002""","=""5027.22015""","=""0.00020""","=""800bl(Fe I)""","=""4.6e+05""",D+,"=""83812.352""","=""103698.515""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
Fe,1,"=""5027.225""","=""0.005""","=""5027.2255""","=""0.0004""","=""830bl""","=""4.91e+05""",C,"=""29356.744""","=""49242.886""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(2G).4p""","=""w 3F*""","=""3""",,"=""T5720""","=""L11631""",
Fe,1,"=""5027.3422""","=""0.0020""","=""5027.3428""","=""0.0004""","=""200""","=""""",,"=""32133.991""","=""52019.669""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,"=""""","=""L11631""",
