spectrum_index,spectrum_description,noise_level,snr,noise_std,correlation_with_neg_noise,success,elapsed_time_s,result_key
0,Dense spectrum,0.2,4.9442642603152995,0.20073674960506804,0.999999992210515,True,801.0,0_0.2
0,Dense spectrum,0.1,9.922707905563367,0.10002264968897619,0.9999999686258878,True,799.0,0_0.1
0,Dense spectrum,0.01,99.35809329503616,0.00998907591611144,0.9999968542967624,True,795.0,0_0.01
0,Dense spectrum,0.005,99.35809329503616,0.00998907591611144,0.9999968542967624,True,796.0,0_0.005
0,Dense spectrum,0.05,99.35809329503616,0.00998907591611144,0.9999968542967624,True,794.0,0_0.05
19392,High metallicity spectrum,0.05,100.05299021792487,0.00998907591611144,0.9999996111013165,True,278.0,19392_0.05
19392,High metallicity spectrum,0.005,100.05299021792487,0.00998907591611144,0.9999996111013165,True,278.0,19392_0.005
19392,High metallicity spectrum,0.01,100.05299021792487,0.00998907591611144,0.9999996111013165,True,278.0,19392_0.01
19392,High metallicity spectrum,0.1,100.05299021792487,0.00998907591611144,0.9999996111013165,True,277.0,19392_0.1
19392,High metallicity spectrum,0.2,100.05299021792487,0.00998907591611144,0.9999996111013165,True,278.0,19392_0.2
9696,Mid-range spectrum,0.2,99.23425453276654,0.00998907591611144,0.9999997375744158,True,527.0,9696_0.2
9696,Mid-range spectrum,0.1,99.23425453276654,0.00998907591611144,0.9999997375744158,True,527.0,9696_0.1
9696,Mid-range spectrum,0.05,99.23425453276654,0.00998907591611144,0.9999997375744158,True,527.0,9696_0.05
9696,Mid-range spectrum,0.01,99.23425453276654,0.00998907591611144,0.9999997375744158,True,527.0,9696_0.01
9696,Mid-range spectrum,0.005,99.23425453276654,0.00998907591611144,0.9999997375744158,True,527.0,9696_0.005
